,,,,,global_mean_score,global_std_score,best_score_innerCV,best_score_innerCV,best_score_innerCV,r2_noAD,r2_strict,r2_soft
,,,,,mean,mean,mean,std,count,mean,mean,mean
nb_neurones,activation,alpha,hidden_layer_sizes,learning_rate_init,,,,,,,,
200,relu,0.03699867920489089,"(100, 100)",0.00025137010744766443,0.675813487784076,0.07439132445066285,0.5663997732552439,,1,0.6959442468532326,0.7314065865141807,0.7095033445136468
200,relu,0.07286653737491042,"(100, 100)",0.000348069532678527,0.6700505617531651,0.06005158303505539,0.593609869864491,,1,0.6517858013486344,0.7262699580459968,0.7085366177535386
50,relu,1.795698422567761e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0047354909465785805,0.6683808608939991,0.0680211735181953,0.5668116133185186,,1,0.6931098646221272,0.7073454663720615,0.7062564992632889
5000,relu,7.602635868455898e-05,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.0011178209200698721,0.6681715506948602,0.06821625696462202,0.5754156667184035,,1,0.6630224713129923,0.7335178602820784,0.7007302044659667
500,relu,0.004053638704742309,"(56, 56, 56, 56, 56, 55, 55, 55, 55)",5.054765477258722e-05,0.6625480032470399,0.043875700461445406,0.6051690571566622,0.012614164057490444,2,0.655613159846644,0.7029410434702485,0.6864687525146045
1000,relu,0.0005421044225547077,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,0.6579402689516903,0.04904588066732489,0.602121599109471,0.01458013854001751,2,0.6399942361202728,0.7051933984472663,0.6844518421297511
100,relu,0.00672093005015611,"(34, 33, 33)",0.01447778630692866,0.6513559470973322,0.04424451792735674,0.5878845106970151,,1,0.6546362976364085,0.6847579044693237,0.6781450755865817
200,tanh,0.0005019072833961318,"(34, 34, 33, 33, 33, 33)",0.0015375920235481753,0.6509233460047257,0.08214417711277122,0.5772507179789512,,1,0.6035402706504507,0.7626515096563522,0.6602508857331488
50,relu,7.602635868455898e-05,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698721,0.6503921399603684,0.0675828980764082,0.5816972618491844,,1,0.6193270996367748,0.7392740264708082,0.661270171884706
100,relu,1.5519027787994336e-05,"(10, 10, 10, 10, 10, 10, 10, 10, 10, 10)",0.00026539376439360527,0.6495026547830651,0.054973243470836874,0.5673453355701249,,1,0.6768958962044139,0.671122506199061,0.6826468811586608
50,relu,1.9870215385428627e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0004938623547724716,0.6493473262382818,0.05102050966991928,0.5739060781062681,,1,0.6625802697304475,0.68243237793349,0.6784705791829218
2000,relu,0.0009925982828198465,"(500, 500, 500, 500)",1.251018885016443e-05,0.6463678476504113,0.05976689203158872,0.5925784829167422,0.0164361156283717,2,0.6049579113263629,0.7120051725406077,0.6759298238179325
10,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,0.6428850556887508,0.05784674739109943,0.5794521264291407,0.01820521789007075,3,0.6268342437955631,0.7049017311888236,0.6603521213414756
200,relu,0.011044350847124691,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,0.6377779907620098,0.028379702659304652,0.6106859268017567,,1,0.6165883720001131,0.6677361447736772,0.6561015194724924
1000,relu,4.809461967501571e-05,"(143, 143, 143, 143, 143, 143, 142)",1.1299516083106613e-05,0.6345441558150393,0.06661543195316762,0.5800081491936895,,1,0.5860859537953111,0.7226921158891052,0.6493904043820512
100,relu,0.03699867920489089,"(50, 50)",0.00025137010744766443,0.6327887969822181,0.05510847517354242,0.5840092897947817,,1,0.5963061625202606,0.7051317574287836,0.6457079781850463
