fold,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft,activation,alpha,hidden_layer_sizes,learning_rate_init,nb_neurones,global_mean_score,global_std_score
1,0.6078015381332967,0.6079090272676331,0.7295459801134923,0.6648911400559835,182,182,104,143,0,78,39,relu,0.0005421044225547077,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,1000,0.6525369213926013,0.05795378990554035
2,0.6167640705361002,0.4246192589245059,0.5970107630895246,0.5606908438015777,182,182,126,155,0,56,27,relu,1.795698422567761e-05,"(143, 143, 143, 143, 143, 143, 142)",0.0047354909465785805,1000,0.549771234087927,0.08660613527009982
3,0.5941394051374626,0.6451432469153862,0.7144281659529004,0.6387510284093018,182,182,114,152,0,68,30,relu,0.002792896510799227,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",1.048912959181851e-05,1000,0.6481154616037628,0.04969009324119744
4,0.5929626351641161,0.5926581196572908,0.64723955751871,0.6082549070847518,181,181,119,157,0,62,24,relu,0.0009925982828198465,"(250, 250, 250, 250)",1.251018885016443e-05,1000,0.6102788048562171,0.025693914190281303
5,0.606773314096927,0.6170115425674727,0.7963356363423135,0.7252423626339112,181,181,126,157,0,55,24,relu,0.0005421044225547077,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",2.059802236544964e-05,1000,0.686340713910156,0.09082900848367802
1,0.6076474557737822,0.6262566171613508,0.7003130577222817,0.643724099655627,182,182,104,143,0,78,39,relu,7.602635868455898e-05,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698721,50,0.6444853075782604,0.040027613816501634
2,0.6122460780044433,0.5486192504607804,0.6859240331031675,0.6787906345170216,182,182,126,155,0,56,27,relu,0.015352246941973482,"(7, 7, 6, 6, 6, 6, 6, 6)",0.0024810409748678114,50,0.6313949990213532,0.06439013264936627
3,0.5954312515554966,0.6517783031556775,0.7160833232307284,0.6254510959262982,182,182,114,152,0,68,30,tanh,0.0003807158379249392,"(13, 13, 12, 12)",0.002463768595899745,50,0.6471859934670502,0.05137733105264679
4,0.595549374574014,0.5747441149705241,0.646102995779753,0.613962418443965,181,181,119,157,0,62,24,tanh,1.6096330648219375e-05,"(13, 13, 12, 12)",0.00044199323295663256,50,0.6075897259420641,0.03026377033392831
5,0.59536654384575,0.6349597949495182,0.7870400400820836,0.7244633301869172,181,181,126,157,0,55,24,relu,7.602635868455898e-05,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698721,50,0.6854574272660672,0.08661575267473008
1,0.6115368304408971,0.5758692876230721,0.7425161979905581,0.6437865809075305,182,182,104,143,0,78,39,relu,0.015352246941973482,"(625, 625, 625, 625, 625, 625, 625, 625)",0.0024810409748678114,5000,0.6434272242405145,0.0716468791429001
2,0.6049872927368306,0.5292743808654342,0.715157647498318,0.6936884416126174,182,182,126,155,0,56,27,relu,0.07286653737491042,"(2500, 2500)",0.000348069532678527,5000,0.6357769406783,0.08552940278594995
3,0.5764883080891519,0.649056421142965,0.7485007086204472,0.6600455178972567,182,182,114,152,0,68,30,relu,0.07286653737491042,"(2500, 2500)",0.000348069532678527,5000,0.6585227389374552,0.07051622248633094
