fold,best_score_innerCV,r2_noAD,r2_strict,r2_soft,nb_test,nb_in_noAD,nb_in_strict,nb_in_soft,nb_out_noAD,nb_out_strict,nb_out_soft,activation,alpha,hidden_layer_sizes,learning_rate_init,nb_neurones,global_mean_score,global_std_score
1,0.5668116133185186,0.6931098646221272,0.7073454663720615,0.7062564992632889,146,146,86,118,0,60,28,relu,1.795698422567761e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0047354909465785805,50,0.6683808608939991,0.0680211735181953
2,0.5739060781062681,0.6625802697304475,0.68243237793349,0.6784705791829218,145,145,97,123,0,48,22,relu,1.9870215385428627e-05,"(8, 7, 7, 7, 7, 7, 7)",0.0004938623547724716,50,0.6493473262382818,0.05102050966991928
3,0.6040038074145887,0.6093453026762239,0.6548734373782238,0.6355647804003539,145,145,89,119,0,56,26,tanh,1.007198483880919e-05,"(10, 10, 10, 10, 10)",0.002950706670790532,50,0.6259468319673476,0.02370907374813504
4,0.5816972618491844,0.6193270996367748,0.7392740264708082,0.661270171884706,145,145,92,122,0,53,23,relu,7.602635868455898e-05,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0.0011178209200698721,50,0.6503921399603684,0.0675828980764082
5,0.6348886647004354,0.2462087036405845,0.5092103408099966,0.4904059928943184,145,145,85,115,0,60,30,relu,1.97778285124627e-05,"(8, 7, 7, 7, 7, 7, 7)",0.004020759548749849,50,0.4701784255113337,0.16250594256078454
1,0.5673453355701249,0.6768958962044139,0.671122506199061,0.6826468811586608,146,146,86,118,0,60,28,relu,1.5519027787994336e-05,"(10, 10, 10, 10, 10, 10, 10, 10, 10, 10)",0.00026539376439360527,100,0.6495026547830651,0.054973243470836874
2,0.5878845106970151,0.6546362976364085,0.6847579044693237,0.6781450755865817,145,145,97,123,0,48,22,relu,0.00672093005015611,"(34, 33, 33)",0.01447778630692866,100,0.6513559470973322,0.04424451792735674
3,0.6058387643477806,0.5987143034294719,0.6529634984289352,0.6399690143677292,145,145,89,119,0,56,26,tanh,0.0014071153761525883,"(20, 20, 20, 20, 20)",0.0012273630375458189,100,0.6243713951434793,0.02622046818283723
4,0.5840092897947817,0.5963061625202606,0.7051317574287836,0.6457079781850463,145,145,92,122,0,53,23,relu,0.03699867920489089,"(50, 50)",0.00025137010744766443,100,0.6327887969822181,0.05510847517354242
5,0.6384200309996404,0.2328403856513518,0.5278393642010415,0.483187519574432,145,145,85,115,0,60,30,tanh,6.849752356701299e-05,"(17, 17, 17, 17, 16, 16)",0.000272011412203244,100,0.47057182510661644,0.17139426702568544
1,0.5663997732552439,0.6959442468532326,0.7314065865141807,0.7095033445136468,146,146,86,118,0,60,28,relu,0.03699867920489089,"(100, 100)",0.00025137010744766443,200,0.675813487784076,0.07439132445066285
2,0.593609869864491,0.6517858013486344,0.7262699580459968,0.7085366177535386,145,145,97,123,0,48,22,relu,0.07286653737491042,"(100, 100)",0.000348069532678527,200,0.6700505617531651,0.06005158303505539
3,0.6106859268017567,0.6165883720001131,0.6677361447736772,0.6561015194724924,145,145,89,119,0,56,26,relu,0.011044350847124691,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",8.789004341405474e-05,200,0.6377779907620098,0.028379702659304652
4,0.5772507179789512,0.6035402706504507,0.7626515096563522,0.6602508857331488,145,145,92,122,0,53,23,tanh,0.0005019072833961318,"(34, 34, 33, 33, 33, 33)",0.0015375920235481753,200,0.6509233460047257,0.08214417711277122
5,0.634631931454436,0.2622301691104117,0.583195486447061,0.5385212991730062,145,145,85,115,0,60,30,relu,0.0014648457497911016,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",0.00010758866306767925,200,0.5046447215462286,0.1663122917391523
1,0.5775025829615953,0.6958921849789443,0.7175283647136232,0.7138387320173538,146,146,86,118,0,60,28,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6761904661678793,0.06646720944319927
2,0.5659752056609454,0.6304528819221077,0.6652250417295533,0.6549540592746947,145,145,97,123,0,48,22,tanh,0.0007606809457649334,"(5, 5)",0.0034207303670092245,10,0.6291517971468252,0.04457207735420173
3,0.5985536579016549,0.5949461207836366,0.6508987941288482,0.6196475071457933,145,145,89,119,0,56,26,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6160115199899833,0.02568313513997965
4,0.5623001384241716,0.5896644256241084,0.7462780347239993,0.6475701248612797,145,145,92,122,0,53,23,tanh,0.0018760068220300646,"(4, 3, 3)",0.0035101887722336646,10,0.6364531809083898,0.08138989759011934
5,0.6429039075423436,0.24020759238337,0.5345099483343194,0.5085865872563413,145,145,85,115,0,60,30,tanh,0.0011619873314872927,"(4, 3, 3)",0.015161591075671724,10,0.4815520088790936,0.17109156842197681
1,0.5610462770462479,0.5894298893818505,0.7293548328153071,0.6440073409545866,146,146,86,118,0,60,28,relu,0.002792896510799227,"(200, 200, 200, 200, 200, 200, 200, 200, 200, 200)",1.048912959181851e-05,2000,0.630959585049498,0.07408206030085483
2,0.5809563940995545,0.6363693739850675,0.7646348906808973,0.7239264799425986,145,145,97,123,0,48,22,relu,0.0009925982828198465,"(500, 500, 500, 500)",1.251018885016443e-05,2000,0.6764717846770294,0.08317867223327474
3,0.60420057173393,0.5735464486676582,0.6593754544003181,0.6279331676932665,145,145,89,119,0,56,26,relu,0.0009925982828198465,"(500, 500, 500, 500)",1.251018885016443e-05,2000,0.6162639106237933,0.036355111829902705
4,0.5681761143342988,0.5724846610476193,0.6782498082885269,0.6162148378747864,145,145,92,122,0,53,23,relu,0.04239491473869766,"(2000,)",8.160948743089913e-05,2000,0.6087813553863078,0.051144756105725
